"name","parent"
"3.1.4.4.1.NA.NA.sub.5.4","3.1.4.4.1.NA.NA.5"
"3.1.4.4.2.NA.NA.sub.5.1","3.1.4.4.2.NA.NA.5"
"3.1.4.4.2.NA.NA.5","3.1.4.4.NA.NA.NA.4"
"3.1.4.4.2.NA.NA.sub.5.2","3.1.4.4.2.NA.NA.5"
"3.1.4.4.2.NA.NA.sub.5.3","3.1.4.4.2.NA.NA.5"
"3.1.4.4.3.NA.NA.5","3.1.4.4.NA.NA.NA.4"
"3.1.4.4.3.NA.NA.sub.5.1","3.1.4.4.3.NA.NA.5"
"3.1.4.4.3.NA.NA.sub.5.2","3.1.4.4.3.NA.NA.5"
"3.1.4.4.3.NA.NA.sub.5.3","3.1.4.4.3.NA.NA.5"
"3.1.4.4.NA.NA.NA.sub.4.1","3.1.4.4.NA.NA.NA.4"
"3.1.4.4.NA.NA.NA.sub.4.2","3.1.4.4.NA.NA.NA.4"
"3.1.4.4.NA.NA.NA.sub.4.3","3.1.4.4.NA.NA.NA.4"
"3.1.4.5.NA.NA.NA.4","3.1.4.NA.NA.NA.NA.3"
"3.1.4.5.NA.NA.NA.sub.4.1","3.1.4.5.NA.NA.NA.4"
"3.1.4.5.NA.NA.NA.sub.4.2","3.1.4.5.NA.NA.NA.4"
"3.1.4.5.NA.NA.NA.sub.4.3","3.1.4.5.NA.NA.NA.4"
"3.1.4.6.1.NA.NA.5","3.1.4.6.NA.NA.NA.4"
"3.1.4.6.NA.NA.NA.4","3.1.4.NA.NA.NA.NA.3"
"3.1.4.6.1.NA.NA.sub.5.1","3.1.4.6.1.NA.NA.5"
"3.1.4.6.1.NA.NA.sub.5.2","3.1.4.6.1.NA.NA.5"
"3.1.4.6.1.NA.NA.sub.5.3","3.1.4.6.1.NA.NA.5"
"3.1.4.6.2.1.NA.6","3.1.4.6.2.NA.NA.5"
"3.1.4.6.2.NA.NA.5","3.1.4.6.NA.NA.NA.4"
"3.1.4.6.2.1.NA.sub.6.1","3.1.4.6.2.1.NA.6"
"3.1.4.6.2.1.NA.sub.6.2","3.1.4.6.2.1.NA.6"
"3.1.4.6.2.NA.NA.sub.5.1","3.1.4.6.2.NA.NA.5"
"3.1.4.6.2.NA.NA.sub.5.2","3.1.4.6.2.NA.NA.5"
"3.1.4.6.3.NA.NA.5","3.1.4.6.NA.NA.NA.4"
"3.1.4.6.3.NA.NA.sub.5.1","3.1.4.6.3.NA.NA.5"
"3.1.4.6.3.NA.NA.sub.5.2","3.1.4.6.3.NA.NA.5"
"3.1.4.6.3.NA.NA.sub.5.3","3.1.4.6.3.NA.NA.5"
"3.1.4.6.4.NA.NA.5","3.1.4.6.NA.NA.NA.4"
